Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,0.02,1000,1,2000000
1,2.25,0.1,100,1,100000.0
2,2.25,0.1,150,1,100000.0
3,2.25,0.1,200,1,100000.0
4,2.25,0.1,250,1,100000.0
5,2.25,0.1,300,1,100000.0
6,2.25,0.1,350,1,100000.0
7,2.25,0.1,400,1,100000.0
8,2.25,0.1,450,1,100000.0
9,2.25,0.1,500,1,100000.0
10,2.25,0.1,550,1,100000.0
11,2.25,0.1,600,1,100000.0
12,2.25,0.1,650,1,100000.0
13,2.25,0.1,700,1,100000.0
14,2.25,0.1,750,1,100000.0
15,2.25,0.1,800,1,100000.0
16,2.25,0.1,850,1,100000.0
17,2.25,0.1,900,1,100000.0
18,2.25,0.1,950,1,100000.0
19,2.25,0.1,1000,1,100000.0
20,2.25,0.1,1050,1,100000.0
21,2.25,0.1,1100,1,100000.0
22,2.25,0.1,1150,1,100000.0
23,2.25,0.1,1200,1,100000.0
24,2.25,0.1,1250,1,100000.0
25,2.25,0.1,1300,1,100000.0
26,2.25,0.1,1350,1,100000.0
27,2.25,0.1,1400,1,100000.0
28,2.25,0.1,1450,1,100000.0
29,2.25,0.1,1500,1,100000.0
30,2.25,0.1,1550,1,100000.0
31,2.25,0.1,1600,1,100000.0
32,2.25,0.1,1650,1,100000.0
33,2.25,0.1,1700,1,100000.0
34,2.25,0.1,1750,1,100000.0
35,2.25,0.1,1800,1,100000.0
36,2.25,0.1,1850,1,100000.0
37,2.25,0.1,1900,1,100000.0
38,2.25,0.1,1950,1,100000.0
39,2.25,0.1,2000,1,100000.0
40,2.25,0.05,100,1,100000.0
41,2.25,0.05,150,1,100000.0
42,2.25,0.05,200,1,100000.0
43,2.25,0.05,250,1,100000.0
44,2.25,0.05,300,1,100000.0
45,2.25,0.05,350,1,100000.0
46,2.25,0.05,400,1,100000.0
47,2.25,0.05,450,1,100000.0
48,2.25,0.05,500,1,100000.0
49,2.25,0.05,550,1,100000.0
50,2.25,0.05,600,1,100000.0
51,2.25,0.05,650,1,100000.0
52,2.25,0.05,700,1,100000.0
53,2.25,0.05,750,1,100000.0
54,2.25,0.05,800,1,100000.0
55,2.25,0.05,850,1,100000.0
56,2.25,0.05,900,1,100000.0
57,2.25,0.05,950,1,100000.0
58,2.25,0.05,1000,1,100000.0
59,2.25,0.05,1050,1,100000.0
60,2.25,0.05,1100,1,100000.0
61,2.25,0.05,1150,1,100000.0
62,2.25,0.05,1200,1,100000.0
63,2.25,0.05,1250,1,100000.0
64,2.25,0.05,1300,1,100000.0
65,2.25,0.05,1350,1,100000.0
66,2.25,0.05,1400,1,100000.0
67,2.25,0.05,1450,1,100000.0
68,2.25,0.05,1500,1,100000.0
69,2.25,0.05,1550,1,100000.0
70,2.25,0.05,1600,1,100000.0
71,2.25,0.05,1650,1,100000.0
72,2.25,0.05,1700,1,100000.0
73,2.25,0.05,1750,1,100000.0
74,2.25,0.05,1800,1,100000.0
75,2.25,0.05,1850,1,100000.0
76,2.25,0.05,1900,1,100000.0
77,2.25,0.05,1950,1,100000.0
78,2.25,0.05,2000,1,100000.0
79,2.25,0.01,100,1,100000.0
80,2.25,0.01,150,1,100000.0
81,2.25,0.01,200,1,100000.0
82,2.25,0.01,250,1,100000.0
83,2.25,0.01,300,1,100000.0
84,2.25,0.01,350,1,100000.0
85,2.25,0.01,400,1,100000.0
86,2.25,0.01,450,1,100000.0
87,2.25,0.01,500,1,100000.0
88,2.25,0.01,550,1,100000.0
89,2.25,0.01,600,1,100000.0
90,2.25,0.01,650,1,100000.0
91,2.25,0.01,700,1,100000.0
92,2.25,0.01,750,1,100000.0
93,2.25,0.01,800,1,100000.0
94,2.25,0.01,850,1,100000.0
95,2.25,0.01,900,1,100000.0
96,2.25,0.01,950,1,100000.0
97,2.25,0.01,1000,1,100000.0
98,2.25,0.01,1050,1,100000.0
99,2.25,0.01,1100,1,100000.0
100,2.25,0.01,1150,1,100000.0
101,2.25,0.01,1200,1,100000.0
102,2.25,0.01,1250,1,100000.0
103,2.25,0.01,1300,1,100000.0
104,2.25,0.01,1350,1,100000.0
105,2.25,0.01,1400,1,100000.0
106,2.25,0.01,1450,1,100000.0
107,2.25,0.01,1500,1,100000.0
108,2.25,0.01,1550,1,100000.0
109,2.25,0.01,1600,1,100000.0
110,2.25,0.01,1650,1,100000.0
111,2.25,0.01,1700,1,100000.0
112,2.25,0.01,1750,1,100000.0
113,2.25,0.01,1800,1,100000.0
114,2.25,0.01,1850,1,100000.0
115,2.25,0.01,1900,1,100000.0
116,2.25,0.01,1950,1,100000.0
